,OpenTime,Open,High,Low,Close,Volume,CloseTime
0,2021-04-03 11:00:00.000,59339.85000000,59461.28000000,59194.00000000,59255.02000000,1336.03280700,2021-04-03 11:59:59.999
1,2021-04-03 12:00:00.000,59256.07000000,59415.04000000,59124.83000000,59254.76000000,1259.25580100,2021-04-03 12:59:59.999
2,2021-04-03 13:00:00.000,59254.75000000,59454.83000000,59156.40000000,59414.80000000,1291.15181200,2021-04-03 13:59:59.999
3,2021-04-03 14:00:00.000,59414.80000000,59454.71000000,59119.00000000,59144.38000000,1801.31413500,2021-04-03 14:59:59.999
4,2021-04-03 15:00:00.000,59146.38000000,59248.18000000,58800.00000000,58829.99000000,2429.32992400,2021-04-03 15:59:59.999
5,2021-04-03 16:00:00.000,58829.99000000,59143.71000000,58600.00000000,58809.74000000,2625.33302000,2021-04-03 16:59:59.999
6,2021-04-03 17:00:00.000,58809.74000000,58811.14000000,58177.77000000,58210.13000000,3433.07123700,2021-04-03 17:59:59.999
7,2021-04-03 18:00:00.000,58208.33000000,58483.90000000,57707.70000000,58455.36000000,3619.77905000,2021-04-03 18:59:59.999
8,2021-04-03 19:00:00.000,58455.36000000,58748.76000000,58160.34000000,58597.04000000,1923.09247200,2021-04-03 19:59:59.999
9,2021-04-03 20:00:00.000,58597.04000000,58597.04000000,57851.28000000,58054.15000000,1767.46349500,2021-04-03 20:59:59.999
10,2021-04-03 21:00:00.000,58054.16000000,58262.30000000,57500.00000000,57631.28000000,2312.68309700,2021-04-03 21:59:59.999
11,2021-04-03 22:00:00.000,57631.28000000,57784.19000000,57088.27000000,57556.75000000,3075.47867100,2021-04-03 22:59:59.999
12,2021-04-03 23:00:00.000,57556.76000000,57800.00000000,56880.00000000,57051.94000000,3656.80976700,2021-04-03 23:59:59.999
13,2021-04-04 00:00:00.000,57051.95000000,57269.92000000,56507.91000000,56600.00000000,3651.49173600,2021-04-04 00:59:59.999
14,2021-04-04 01:00:00.000,56600.00000000,57153.74000000,56388.00000000,56933.46000000,3526.29084000,2021-04-04 01:59:59.999
15,2021-04-04 02:00:00.000,56933.47000000,57551.00000000,56933.46000000,57363.48000000,1864.77164300,2021-04-04 02:59:59.999
16,2021-04-04 03:00:00.000,57363.48000000,57583.32000000,57200.00000000,57492.42000000,1419.34938500,2021-04-04 03:59:59.999
17,2021-04-04 04:00:00.000,57492.42000000,57723.48000000,57380.95000000,57547.52000000,1331.25887700,2021-04-04 04:59:59.999
18,2021-04-04 05:00:00.000,57547.52000000,57650.00000000,57290.00000000,57477.08000000,1166.24452700,2021-04-04 05:59:59.999
19,2021-04-04 06:00:00.000,57473.71000000,57548.28000000,57139.02000000,57439.98000000,1312.97102700,2021-04-04 06:59:59.999
20,2021-04-04 07:00:00.000,57439.97000000,57614.53000000,57248.79000000,57614.52000000,1413.14856000,2021-04-04 07:59:59.999
21,2021-04-04 08:00:00.000,57614.52000000,57688.92000000,57402.30000000,57429.84000000,1354.94656800,2021-04-04 08:59:59.999
22,2021-04-04 09:00:00.000,57429.84000000,57700.00000000,57429.84000000,57686.35000000,1511.27638300,2021-04-04 09:59:59.999
23,2021-04-04 10:00:00.000,57686.36000000,57787.79000000,57525.99000000,57708.05000000,1421.04842000,2021-04-04 10:59:59.999
24,2021-04-04 11:00:00.000,57708.05000000,57766.79000000,57033.85000000,57275.55000000,1616.44444000,2021-04-04 11:59:59.999
25,2021-04-04 12:00:00.000,57278.23000000,58000.00000000,57000.00000000,57755.08000000,2218.68001800,2021-04-04 12:59:59.999
26,2021-04-04 13:00:00.000,57755.07000000,58166.46000000,57754.61000000,58128.14000000,1993.92152700,2021-04-04 13:59:59.999
27,2021-04-04 14:00:00.000,58128.15000000,58300.00000000,58010.41000000,58130.99000000,1653.28910400,2021-04-04 14:59:59.999
28,2021-04-04 15:00:00.000,58130.98000000,58492.85000000,57703.49000000,57918.11000000,2938.61364800,2021-04-04 15:59:59.999
29,2021-04-04 16:00:00.000,57918.11000000,58097.54000000,57684.29000000,58030.89000000,2131.59666800,2021-04-04 16:59:59.999
30,2021-04-04 17:00:00.000,58030.89000000,58280.00000000,58030.88000000,58179.03000000,1402.24109700,2021-04-04 17:59:59.999
31,2021-04-04 18:00:00.000,58179.03000000,58263.33000000,57959.30000000,58102.92000000,1238.78024000,2021-04-04 18:59:59.999
32,2021-04-04 19:00:00.000,58102.91000000,58184.01000000,57758.34000000,57953.86000000,1550.10428700,2021-04-04 19:59:59.999
33,2021-04-04 20:00:00.000,57953.86000000,58051.25000000,57826.16000000,58025.11000000,1240.20901600,2021-04-04 20:59:59.999
34,2021-04-04 21:00:00.000,58025.11000000,58184.00000000,57976.73000000,58116.69000000,987.37463200,2021-04-04 21:59:59.999
35,2021-04-04 22:00:00.000,58116.69000000,58199.15000000,57886.15000000,58129.22000000,1349.51859100,2021-04-04 22:59:59.999
36,2021-04-04 23:00:00.000,58129.22000000,58300.00000000,58106.78000000,58202.01000000,1020.51073900,2021-04-04 23:59:59.999
37,2021-04-05 00:00:00.000,58202.01000000,58387.35000000,57890.97000000,57908.13000000,2110.94538600,2021-04-05 00:59:59.999
38,2021-04-05 01:00:00.000,57908.14000000,57913.01000000,57638.33000000,57787.88000000,1850.54182600,2021-04-05 01:59:59.999
39,2021-04-05 02:00:00.000,57787.88000000,57816.32000000,57427.98000000,57595.45000000,1664.35296800,2021-04-05 02:59:59.999
40,2021-04-05 03:00:00.000,57595.44000000,57723.64000000,57320.00000000,57467.12000000,1655.24127400,2021-04-05 03:59:59.999
41,2021-04-05 04:00:00.000,57467.12000000,57618.00000000,57272.05000000,57284.99000000,1933.83565900,2021-04-05 04:59:59.999
42,2021-04-05 05:00:00.000,57285.19000000,57368.53000000,56855.55000000,56897.45000000,2536.40829700,2021-04-05 05:59:59.999
43,2021-04-05 06:00:00.000,56897.45000000,57316.74000000,56790.57000000,57143.59000000,2513.57840500,2021-04-05 06:59:59.999
44,2021-04-05 07:00:00.000,57143.59000000,57371.42000000,56947.64000000,57250.00000000,1971.33109100,2021-04-05 07:59:59.999
45,2021-04-05 08:00:00.000,57250.00000000,57346.80000000,56777.77000000,57149.25000000,1865.58705900,2021-04-05 08:59:59.999
46,2021-04-05 09:00:00.000,57149.25000000,57550.00000000,56980.00000000,57539.15000000,1987.78604100,2021-04-05 09:59:59.999
47,2021-04-05 10:00:00.000,57539.14000000,57718.53000000,57324.77000000,57668.98000000,1667.35924800,2021-04-05 10:59:59.999
48,2021-04-05 11:00:00.000,57668.98000000,57766.84000000,57507.69000000,57756.36000000,1986.43024600,2021-04-05 11:59:59.999
49,2021-04-05 12:00:00.000,57756.36000000,58124.67000000,57754.67000000,57959.23000000,2666.57520400,2021-04-05 12:59:59.999
50,2021-04-05 13:00:00.000,57959.22000000,58116.63000000,57746.74000000,58113.06000000,2510.47840000,2021-04-05 13:59:59.999
51,2021-04-05 14:00:00.000,58113.07000000,59175.01000000,58113.06000000,59170.68000000,4931.30276800,2021-04-05 14:59:59.999
52,2021-04-05 15:00:00.000,59173.64000000,59272.00000000,58850.00000000,59018.29000000,3402.24601000,2021-04-05 15:59:59.999
53,2021-04-05 16:00:00.000,59020.00000000,59240.00000000,58853.14000000,58983.51000000,3483.46750300,2021-04-05 16:59:59.999
54,2021-04-05 17:00:00.000,58983.51000000,59078.69000000,58610.00000000,58954.60000000,2683.09487000,2021-04-05 17:59:59.999
55,2021-04-05 18:00:00.000,58954.60000000,59032.99000000,58732.08000000,58876.29000000,1600.89059300,2021-04-05 18:59:59.999
56,2021-04-05 19:00:00.000,58876.30000000,59089.40000000,58800.00000000,59005.20000000,1834.25014400,2021-04-05 19:59:59.999
57,2021-04-05 20:00:00.000,59005.21000000,59100.00000000,58737.70000000,58770.61000000,2148.09970200,2021-04-05 20:59:59.999
58,2021-04-05 21:00:00.000,58773.16000000,58880.00000000,58479.59000000,58664.04000000,1663.67536900,2021-04-05 21:59:59.999
59,2021-04-05 22:00:00.000,58664.04000000,58967.00000000,58664.04000000,58877.18000000,1717.46796500,2021-04-05 22:59:59.999
60,2021-04-05 23:00:00.000,58877.18000000,59130.00000000,58533.10000000,59129.99000000,1873.06976200,2021-04-05 23:59:59.999
61,2021-04-06 00:00:00.000,59129.99000000,59479.00000000,59043.47000000,59356.23000000,3279.18920100,2021-04-06 00:59:59.999
62,2021-04-06 01:00:00.000,59356.23000000,59495.24000000,58728.10000000,58800.01000000,2467.89145600,2021-04-06 01:59:59.999
63,2021-04-06 02:00:00.000,58800.02000000,58868.96000000,58635.72000000,58745.27000000,1448.83444300,2021-04-06 02:59:59.999
64,2021-04-06 03:00:00.000,58745.28000000,58947.35000000,58600.00000000,58608.70000000,1203.32003600,2021-04-06 03:59:59.999
65,2021-04-06 04:00:00.000,58610.19000000,58894.05000000,58601.87000000,58794.93000000,1716.38785200,2021-04-06 04:59:59.999
66,2021-04-06 05:00:00.000,58794.94000000,59031.66000000,58755.56000000,58867.32000000,1359.19326700,2021-04-06 05:59:59.999
67,2021-04-06 06:00:00.000,58867.31000000,58969.01000000,58618.00000000,58843.53000000,1690.61139400,2021-04-06 06:59:59.999
68,2021-04-06 07:00:00.000,58843.52000000,58928.23000000,58349.00000000,58576.59000000,2311.42269400,2021-04-06 07:59:59.999
69,2021-04-06 08:00:00.000,58576.59000000,59000.00000000,58300.00000000,58487.37000000,3332.73105600,2021-04-06 08:59:59.999
